Continent,Region/Country,Product,Variable,Year,Unit,Quantity
America,Antigua and Barbuda,Dried Grapes,Consumption,2004,tonnes,0
America,Antigua and Barbuda,Table Grapes,Consumption,2004,tonnes,  9
America,Antigua and Barbuda,Dried Grapes,Exports,2004,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2004,tonnes,0
America,Antigua and Barbuda,Fresh Grapes,Imports,2004,tonnes,  9
America,Antigua and Barbuda,Dried Grapes,Consumption,2005,tonnes,  55
America,Antigua and Barbuda,Table Grapes,Consumption,2005,tonnes,  109
America,Antigua and Barbuda,Dried Grapes,Exports,2005,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2005,tonnes,  55
America,Antigua and Barbuda,Fresh Grapes,Imports,2005,tonnes,  409
America,Antigua and Barbuda,Dried Grapes,Consumption,2006,tonnes,  18
America,Antigua and Barbuda,Table Grapes,Consumption,2006,tonnes,  107
America,Antigua and Barbuda,Dried Grapes,Exports,2006,tonnes,  1
America,Antigua and Barbuda,Dried Grapes,Imports,2006,tonnes,  18
America,Antigua and Barbuda,Fresh Grapes,Imports,2006,tonnes,  107
America,Antigua and Barbuda,Dried Grapes,Consumption,2007,tonnes,  21
America,Antigua and Barbuda,Table Grapes,Consumption,2007,tonnes,  63
America,Antigua and Barbuda,Dried Grapes,Exports,2007,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2007,tonnes,  21
America,Antigua and Barbuda,Fresh Grapes,Imports,2007,tonnes,  63
America,Antigua and Barbuda,Dried Grapes,Consumption,2008,tonnes,  14
America,Antigua and Barbuda,Table Grapes,Consumption,2008,tonnes,  105
America,Antigua and Barbuda,Dried Grapes,Exports,2008,tonnes,  2
America,Antigua and Barbuda,Dried Grapes,Imports,2008,tonnes,  14
America,Antigua and Barbuda,Fresh Grapes,Imports,2008,tonnes,  105
America,Antigua and Barbuda,Dried Grapes,Consumption,2009,tonnes,  20
America,Antigua and Barbuda,Table Grapes,Consumption,2009,tonnes,  127
America,Antigua and Barbuda,Dried Grapes,Exports,2009,tonnes,  1
America,Antigua and Barbuda,Dried Grapes,Imports,2009,tonnes,  20
America,Antigua and Barbuda,Fresh Grapes,Imports,2009,tonnes,  127
America,Antigua and Barbuda,Dried Grapes,Consumption,2010,tonnes,  21
America,Antigua and Barbuda,Table Grapes,Consumption,2010,tonnes,  74
America,Antigua and Barbuda,Dried Grapes,Exports,2010,tonnes,  1
America,Antigua and Barbuda,Dried Grapes,Imports,2010,tonnes,  21
America,Antigua and Barbuda,Fresh Grapes,Imports,2010,tonnes,  74
America,Antigua and Barbuda,Dried Grapes,Consumption,2011,tonnes,  45
America,Antigua and Barbuda,Table Grapes,Consumption,2011,tonnes,  99
America,Antigua and Barbuda,Dried Grapes,Exports,2011,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2011,tonnes,  45
America,Antigua and Barbuda,Fresh Grapes,Imports,2011,tonnes,  299
America,Antigua and Barbuda,Dried Grapes,Consumption,2012,tonnes,  11
America,Antigua and Barbuda,Table Grapes,Consumption,2012,tonnes,  135
America,Antigua and Barbuda,Dried Grapes,Exports,2012,tonnes,0
America,Antigua and Barbuda,Dried Grapes,Imports,2012,tonnes,  11
